linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
2;atualizado;;70492fec-a2f4-4022-895a-0f48cbd9d709;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
3;atualizado;;b3664399-837a-46c4-aaad-6a7e30366c8b;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
4;atualizado;;a4ba9e40-1e14-4a16-a394-79f72acb3641;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
5;atualizado;;fc0c3c41-7573-4af5-8ecf-b74ea757c7a1;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
6;atualizado;;6d293632-c42b-43ec-ae90-353a201ba1ae;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
7;atualizado;;2f6f848d-1c19-4789-b834-02ad364b735c;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
8;atualizado;;30bd1ea4-dd5b-47ec-8a9d-2438645af46f;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
9;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
10;atualizado;;dcd653ff-0a8c-494c-a53a-15042669d843;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
11;atualizado;;cb4a4a26-b0b3-404f-8dd5-017d6a05c1dd;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
12;atualizado;;715b8e0e-a016-43bc-a39f-bbb6f3a560a6;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
13;atualizado;;6fa97f1b-c89c-4148-a639-bba97dc403ee;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
14;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
15;ignorado;Pesquisador nao encontrado no banco de dados.;;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;;;
16;atualizado;;924c569e-c2ad-442f-acf7-7059b7acdcf3;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
17;atualizado;;0cd2c465-a91f-4bfa-8f8f-ea1207377490;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
18;atualizado;;e130c806-f731-4560-a195-1cbbfdc20c4b;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
19;atualizado;;fbff11b7-4aa0-4026-8376-97646c278c45;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;20.0;217e7292-81be-438a-9a3d-3434d963d80d
20;atualizado;;6cd3c47c-0c6d-4467-92a7-083c9e746d94;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
21;atualizado;;59f710fb-43bb-41cc-a125-d9cdc61be9e6;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
22;atualizado;;00205b60-13a8-4455-ba23-d9b06e43dcba;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
23;atualizado;;66c5db53-766d-4e19-877e-117a6e87cd2a;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
24;atualizado;;6696e936-e7a2-41e2-a438-e161f8cdc45f;UFOB;ecafd569-d31f-429b-ba33-26780f46b990;BACIA DO RIO GRANDE;40.0;217e7292-81be-438a-9a3d-3434d963d80d
