linha;status;motivo;researcher_id;universidade;institution_id;identity_territory;workload;city_id
2;atualizado;;947d0376-e8a4-497a-b2f6-9efea5b7c859;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
3;atualizado;;09ec89b8-89f5-4421-b834-bfbfd2b93c9d;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
4;atualizado;;a2bc4c4f-d6a1-4088-8c44-b9beccacd108;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
5;atualizado;;a9b5824b-48e6-40f0-8b42-1de7b6236d52;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
6;atualizado;;a48b4cc8-0898-445d-82a9-24062a94f0f1;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
7;atualizado;;0d3e3950-74fc-4dc4-bd60-e801c00cc116;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
8;atualizado;;98e530d8-7f2e-463f-a9b6-adedbd89a084;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
9;atualizado;;7dd1d09f-e469-4dc4-bddd-9d7ff460daef;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
10;ignorado;Pesquisador vinculado a outra universidade.;;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;;;
11;atualizado;;09e12595-efea-4ea4-a3bb-5698086c4d3b;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
12;atualizado;;c46dfa16-1e58-4bd8-b66a-cc4c9fc5f18e;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
13;atualizado;;ad90bd61-e23e-4e00-9242-44672c96d5a0;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
14;atualizado;;7222a78a-e0eb-457e-80af-d515f7b95442;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
15;atualizado;;f492f5ea-3271-49a0-9062-10088cc65d99;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
16;atualizado;;5304a88e-0538-4a4d-b8a0-4b2e6a9f1e00;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
17;ignorado;Pesquisador vinculado a outra universidade.;;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;;;
18;atualizado;;987ad93c-4e76-4b1a-bfa2-ccc21ffc294a;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
19;atualizado;;5ddd8706-2d29-4725-8d5e-5630deadcf4b;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
20;atualizado;;fa8d636b-59be-4ed5-b6bb-3160ca309cb1;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
21;atualizado;;9780ceb1-a991-45a1-97a9-69d7f1c4e213;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
22;atualizado;;f00f23f6-90b5-4097-8ba0-27e42691f3bd;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
23;atualizado;;7851d7b9-d91a-434e-9550-7dc152240567;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
24;atualizado;;1520e94a-c45a-4d36-a451-251cc25513fd;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
25;atualizado;;7dae6876-b67e-43c9-8375-9ac15553b1fd;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
26;atualizado;;0b1f124c-6101-41a9-a486-581014bf09e0;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
27;atualizado;;f8d20802-0be1-4f19-81b9-8c554b3596ca;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
28;atualizado;;55e6e689-d9d5-4e36-865d-47a88e565b58;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
29;atualizado;;b66d4ae6-8ec1-42ce-9310-7ed44f35305d;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
30;atualizado;;f9e75109-2668-4666-9f80-bc7d29a0abb3;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
31;atualizado;;eb5d19fe-0013-4ea6-bf2f-dc29d387af20;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
32;atualizado;;9d0d01e0-ba90-4f1c-b48b-eb5598f99876;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
33;atualizado;;d5dda74f-4115-4816-92c4-ef3518a873b6;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
34;atualizado;;c14134f8-cfe1-480a-bcee-d9c1f422d338;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
35;atualizado;;939abbfd-df65-4491-a228-3a309011ec39;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
36;atualizado;;62f06a24-7e43-4848-8f43-3df7a37151bf;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
37;atualizado;;06730fba-feab-4972-9bc2-e97bc42bcfca;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
38;atualizado;;44716860-83ed-47c3-ae34-f1e4aafd0c45;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
39;atualizado;;bcbfd133-a244-48f8-a088-e357bea03039;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
40;atualizado;;6064adac-e7c4-4652-9439-aa5822f5ae01;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
41;atualizado;;c78bc821-606d-42e4-8ee1-0021bf1b10e6;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
42;ignorado;Pesquisador vinculado a outra universidade.;;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;;;
43;atualizado;;66724b06-18af-4893-a6e1-0def0af04d61;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
44;atualizado;;55c54f56-c259-419e-a54b-c53fc2223471;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
45;atualizado;;ac7bfc4a-deda-4745-98a1-af400139574c;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
46;atualizado;;9a3e9be7-33a8-451b-a22a-ea0fb96f9ec4;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
47;atualizado;;14f4c5f1-ea93-4b64-b1e4-1f081af9dc8d;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
48;atualizado;;798fb818-d904-492e-98cf-693ac492dfbb;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
49;atualizado;;9a4dab9a-7f58-4277-a554-9ad422b19af5;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
50;atualizado;;18b76c00-d32b-46b2-99cd-3f3fc6206885;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
51;atualizado;;b29b1679-cc7b-4b24-ae4b-30249beca78b;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
52;atualizado;;dfe401ea-6675-4e11-aefa-78da2d7a8dcf;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
53;atualizado;;d379454f-c509-43c9-875b-1b9b98b112da;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
54;atualizado;;5d731f49-08af-4e86-9a03-3058d63105f8;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
55;atualizado;;7469c699-5f15-4ad0-9bcc-51e2f023cb16;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
56;atualizado;;7e8ee69d-3d4c-49b1-ae58-31d6bf0cd9b6;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
57;atualizado;;57d754ca-d6f9-41fa-bde9-cd95ef212508;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
58;atualizado;;252c109b-ff16-446b-ba10-c784f8bb1fb2;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
59;atualizado;;ff2c6a20-37ba-4b5d-9189-5f1a8a677608;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
60;atualizado;;cdd72d1b-b21c-435c-a7a9-6d75b6d0516e;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
61;atualizado;;16b9b24b-485d-44d2-b534-afc8099bfb1f;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
62;atualizado;;b796f070-32e4-4c2a-96a0-78dd7c3ecd67;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
63;atualizado;;5f1d95a3-0f36-41e9-8853-a382b6e827f4;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
64;atualizado;;8bbeec43-cfd0-45fb-bbc9-d01ee1a8a92c;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
65;atualizado;;1005f9d3-aa6d-4002-9789-300d510de7b7;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
66;atualizado;;e8ecc7aa-6e60-4ed9-b75c-717c8e50f91a;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
67;atualizado;;a9695f0e-a76e-4136-830a-9c8bde41ded4;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
68;atualizado;;ea91fc91-8ef9-43ec-87c9-5f403f250c3e;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
69;atualizado;;a235bc6f-e194-452b-a899-d69ddac0e096;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
70;atualizado;;085e4b75-5f52-4ca8-ad90-38b407ff80c1;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
71;ignorado;Pesquisador vinculado a outra universidade.;;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;;;
72;atualizado;;a3d6cb01-e330-4ed6-8a43-af1bb22752ba;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
73;atualizado;;55fe99df-e8f7-42e4-8b1e-8a7fe648cb30;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
74;atualizado;;0af39f09-5f35-4780-a16f-057ab75a0626;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
75;atualizado;;ad581fda-8788-4001-ae93-9350b0e95ea6;UFRB;73cdfd5f-e313-42c9-a90d-38ed38260d48;RECÔNCAVO;40.0;32950a66-6cc5-4621-a4ba-a071bbd866e1
