code,rating
42051010002P0,4
32020015008P9,4
33139016002P0,6
33096015001P8,3
42041015011P8,4
33027013004P0,5
31011012004P5,7
33014019001P0,7
33014019003P3,7
32049013001P5,4
30007011003P2,5
21016003001P4,3
32053010001P9,4
41006011002P0,5
41006011007P2,5
42004012156P8,4
42004012157P4,4
33024014019P9,6
32008015015P2,5
40003019008P7,5
31005012019P6,7
42005019031P7,5
33005010017P2,3
33106010001P9,4
42008018007P8,4
42008018003P2,4
41002016020P3,5
22003010013P0,5
40002012040P1,4
40004015035P0,5
40004015044P0,3
31004016048P0,3
28001010020P3,4
28001010063P4,4
22001018065P7,4
22033017004P6,3
24009016172P4,4
23003014074P1,3
30001013015P2,4
30001013041P3,4
31003010078P3,3
31003010157P0,4
52001016068P0,5
52001016104P7,4
32005016070P4,3
32004010003P2,5
32001010026P0,5
32001010078P0,5
51001012023P4,4
51001012173P6,3
15001016169P7,4
15001016172P8,3
24001015017P8,5
24001015075P8,5
24001015079P3,3
25001019046P0,5
25001019068P4,4
25001019173P2,3
25001019171P0,4
40001016025P6,6
40001016050P0,5
40001016079P9,4
42001013025P1,6
42001013170P1,4
31001017062P3,7
31001017113P7,6
23001011007P0,4
23001011076P1,3
23001011046P5,5
25003011014P4,5
25003011070P1,3
27001016038P3,4
41001010010P5,4
41001010054P2,5
33001014076P0,4
42002010030P5,4
42002010167P0,4
32006012020P3,5
32006012035P0,4
32002017029P5,5
15004015005P3,5
53001010016P7,6
53001010105P0,4
33003025005P3,5
28013018004P9,4
22002014001P5,4
31035019002P1,5
32076010001P1,3
33092010001P6,7
40015017070P9,4
33063010006P9,5
42046017011P0,3
10001018006P7,3
10001018048P1,3
42020018008P7,4
42007011007P1,6
41008014003P0,5
41005015005P3,6
41005015002P4,5
41016017007P4,4
41007018006P2,5
41007018002P7,5
23004010008P5,3
40022013001P0,4
42009014014P0,3
33110018001P2,4
33002010085P5,7
33002010086P1,6
33002010232P8,4
33002010243P0,5
33002037025P3,4
33002029036P0,7
33002029040P7,5
40006018044P2,4
53045009001P3*,3
33139016003P6,4
31105009001P1,4
33096015003P0,3
33146012002P2,4
33138010001P0,4
31011012011P1,5
31011012014P0,5
33014019004P0,5
33014019006P2,4
33014019007P9,5
33113017001P1,4
32065019001P3,3
30007011001P0,5
31152007001P1,3
33302006001P2,3
31034012001P9,3
53019016002P5,5
53023013001P2,3
52010015109P4,3
32045018002P6,4
27005011001P8,2
33129010002P8,5
33129010004P0,4
33024014029P4,4
33024014024P2,5
40003019019P9,4
31005012033P9,5
33005010018P9,3
53072006001P0,3
41002016009P0,5
31004016161P0,4
28001010052P2,4
22001018071P7,4
30001013045P9,3
31003010092P6,5
32004010024P0,3
24001015059P2,2
40001016172P9,4
23001011057P7,4
31002013015P1,5
41001010078P9,4
41001010163P6,4
33001014046P3,4
42002010050P6,5
32006012076P9,4
32010010042P4,4
53001010055P2,5
53001010102P0,4
41009010003P6,3
31018017008P5,3
33004102073P5,4
52016013002P3,3
40014010012P2,4
33149011001P5,2
25018019001P3,1
32003013014P4,4
22002014009P6,3
33034010010P7,3
33092010008P0,5
40015017028P2,4
42007011024P3,5
41005015011P3,5
23004010002P7,3
25004018010P5,4
42010012007P9,3
33002010240P0,4
15027007040P0,3
20002017007P8,4
26001012082P0,3
12001015029P2,5
28001010058P0,4
31003010031P7,6
31003010173P6,4
52001016043P8,5
51005018013P4,4
32001010072P1,4
51001012174P2,3
50001019037P2,4
15010015075P8,3
15001016060P5,4
24001015060P0,5
25001019013P5,5
25001019059P5,5
42003016045P5,5
21001014017P0,4
21001014032P9,4
40001016027P9,4
28022017013P3,4
42001013034P0,7
31001017021P5,7
31001017125P5,6
23001011037P6,5
13001019039P0,3
27001016026P5,4
27001016033P1,4
41001010017P0,6
33001014023P3,5
53001010010P9,7
33003017016P0,6
22001018171P1*,3
25020013043P9,3
25020013044P5,3
33002010151P8,6
33002010029P8,6
42051010003P7,4
33024014020P7,7
33006016010P0,5
31005012039P7,5
31005012027P9,5
33106010002P5,6
41002016022P6,4
40004015037P3*,5
